instance,pb,n,p,coef,rangemin,rangemax,nodesel,varsel,OB,solved,YN,nbnodes,mindepthT,maxdepthT,avgdepthT,avgdepthYN,nbleaf,nbinfeas,pctinfeas,tpsinfeas,nbopt,pctopt,tpsopt,nbdomi,pctdomi,avgdomi,nbLB,avgfacets,avgNDf,pctavgNDf, avgWNDf,pctWNDf,maxfacets,maxNDf,pctmaxNDf, maxWNDf,pctmaxWNDf,tpstotal,tpsLB,pcttpsLB,tpsdomi,pcttpsdomi,tpsUB,pcttpsUB,tpsnodesel,pcttpsnodesel,tpsvarsel,pcttpsvarsel,tpsOB,pcttpsOB,tpsSLUB,pcttpsSLUB,tpsdomiLUB,pcttpsdomiLUB,nbOB,pctnbOB,avgdepthOB,mindepthOB,maxdepthOB,avgnbpbOB,maxnbpbOB,ratioNDcoef
Forget20-KP_35_3_1-10_random_5_5,KP,35,3,random,1,10,depth,mof,None,1,149,34035,5,36,21.23,13.99,17018,289,1.7,1.09,1083,6.36,1.1,15646,91.94,4.99,33746,24.4,8.08,33.14,16.31,66.85,211,156,73.93,55,26.07,170.44,162.82,95.53,5.38,3.16,0.27,0.16,0.01,0.0,0.13,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.11429
Forget20-KP_35_3_1-10_random_5_5,KP,35,3,random,1,10,breadth,mof,None,1,149,13849,7,36,19.36,13.95,6925,45,0.65,0.68,579,8.36,0.79,6301,90.99,5.34,13804,28.4,10.09,35.52,18.32,64.5,211,156,73.93,55,26.07,72.8,67.81,93.15,3.75,5.15,0.13,0.18,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.11429
Forget20-KP_35_3_1-10_random_5_5,KP,35,3,random,1,10,depth,mfavg,None,1,149,37007,8,35,20.1,16.03,18504,57,0.31,0.65,525,2.84,1.33,17922,96.85,3.81,36950,18.7,4.88,26.08,13.83,73.94,211,156,73.93,55,26.07,144.14,135.23,93.82,5.88,4.08,0.2,0.14,0.01,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.11429
Forget20-KP_35_3_1-10_random_5_5,KP,35,3,random,1,10,breadth,mfavg,None,1,149,17251,8,34,18.48,15.97,8626,5,0.06,0.75,167,1.94,1.1,8454,98.01,4.41,17246,23.92,6.95,29.04,16.98,70.97,211,156,73.93,55,26.07,78.91,72.4,91.75,4.68,5.94,0.12,0.16,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.11429
Forget20-KP_35_3_1-10_random_6_6,KP,35,3,random,1,10,depth,mof,None,1,179,31627,6,36,22.58,10.92,15814,36,0.23,0.65,3250,20.55,0.97,12528,79.22,5.98,31591,27.89,10.6,38.0,17.29,61.98,241,183,75.93,58,24.07,177.1,169.33,95.61,5.42,3.06,0.33,0.19,0.01,0.0,0.14,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.11429
Forget20-KP_35_3_1-10_random_6_6,KP,35,3,random,1,10,breadth,mof,None,1,179,12931,6,35,20.61,10.81,6466,9,0.14,1.66,1095,16.93,1.65,5362,82.93,7.82,12922,37.45,16.6,44.34,20.84,55.65,241,183,75.93,58,24.07,94.23,88.0,93.39,4.23,4.48,0.21,0.22,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.11429
Forget20-KP_35_3_1-10_random_6_6,KP,35,3,random,1,10,depth,mfavg,None,1,179,28845,7,36,21.51,11.53,14423,16,0.11,0.9,858,5.95,1.21,13549,93.94,4.76,28829,23.78,6.4,26.91,17.38,73.08,241,183,75.93,58,24.07,143.43,136.19,94.95,4.65,3.24,0.22,0.16,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.11429
Forget20-KP_35_3_1-10_random_6_6,KP,35,3,random,1,10,breadth,mfavg,None,1,179,15027,7,36,20.09,11.53,7514,3,0.04,1.73,299,3.98,2.09,7212,95.98,6.31,15024,29.46,9.25,31.4,20.21,68.61,241,183,75.93,58,24.07,97.4,90.48,92.89,5.06,5.2,0.17,0.17,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.11429
Forget20-KP_35_3_1-10_random_7_7,KP,35,3,random,1,10,depth,mof,None,1,208,55571,6,36,22.77,14.37,27786,170,0.61,0.83,4411,15.87,0.95,23205,83.51,5.15,55401,23.82,7.2,30.21,16.63,69.81,247,190,76.92,57,23.08,270.0,256.6,95.04,8.42,3.12,0.53,0.19,0.01,0.0,0.2,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.22857
Forget20-KP_35_3_1-10_random_7_7,KP,35,3,random,1,10,breadth,mof,None,1,208,17117,7,36,20.81,14.29,8559,21,0.25,1.34,1382,16.15,1.45,7156,83.61,7.64,17096,31.47,11.64,36.98,19.83,63.01,247,190,76.92,57,23.08,115.87,107.86,93.09,6.14,5.3,0.24,0.21,0.0,0.0,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.22857
Forget20-KP_35_3_1-10_random_7_7,KP,35,3,random,1,10,depth,mfavg,None,1,208,43137,8,35,20.94,14.78,21569,119,0.55,0.56,413,1.91,0.73,21037,97.53,3.63,43018,24.78,7.62,30.73,17.17,69.28,247,190,76.92,57,23.08,174.43,167.56,96.06,4.89,2.8,0.39,0.22,0.01,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.22857
Forget20-KP_35_3_1-10_random_7_7,KP,35,3,random,1,10,breadth,mfavg,None,1,208,19333,8,34,19.19,14.74,9667,32,0.33,1.4,127,1.31,1.52,9508,98.36,6.16,19301,32.56,11.95,36.69,20.61,63.29,247,190,76.92,57,23.08,123.15,114.34,92.85,6.92,5.62,0.25,0.2,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.22857
Forget20-KP_35_3_1-10_random_8_8,KP,35,3,random,1,10,depth,mof,None,1,101,23089,7,35,21.36,14.18,11545,92,0.8,0.86,721,6.25,0.86,10732,92.96,2.68,22997,16.52,3.41,20.62,13.12,79.4,132,83,62.88,49,37.12,61.83,59.5,96.24,1.58,2.56,0.11,0.17,0.0,0.0,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.17143
Forget20-KP_35_3_1-10_random_8_8,KP,35,3,random,1,10,breadth,mof,None,1,101,7435,6,35,18.48,14.18,3718,17,0.46,0.43,135,3.63,0.95,3566,95.91,3.29,7418,21.42,4.82,22.49,16.6,77.5,132,83,62.88,49,37.12,24.69,23.28,94.28,1.04,4.21,0.04,0.18,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.17143
Forget20-KP_35_3_1-10_random_8_8,KP,35,3,random,1,10,depth,mfavg,None,1,101,20505,7,36,20.81,16.87,10253,67,0.65,0.92,485,4.73,0.98,9701,94.62,2.58,20438,15.5,3.22,20.8,12.28,79.22,132,83,62.88,49,37.12,52.84,50.87,96.27,1.4,2.65,0.07,0.14,0.0,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.17143
