instance,YN,solved,cpu,nbit,nbinfeas,nbduplicates,totalLP
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_1,1970,1,224.73458409309387,3885,0,1911,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_10,2581,1,387.1282308101654,5066,0,2470,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_2,2755,1,578.0567829608917,5434,0,2663,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_3,2429,1,349.41839504241943,4792,0,2358,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_4,2592,1,418.18781304359436,5126,0,2527,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_5,2305,1,384.19227600097656,4522,0,2197,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_6,2041,1,270.67009711265564,3964,0,1909,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_7,1748,1,207.32471704483032,3457,0,1701,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_8,1792,1,284.08555698394775,3516,0,1716,0
Forget20-UFLP_7_3_1-1000_1-100_spheredown_1_9,2353,1,420.75985312461853,4651,0,2291,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_1,3082,0,1800.0530319213867,5939,0,2847,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_10,4632,1,1041.0513191223145,9112,0,4460,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_2,4762,1,1637.7273519039154,9345,0,4564,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_3,4132,1,1068.7143058776855,8137,0,3992,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_4,3776,1,889.695643901825,7379,0,3588,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_5,3926,1,1557.9806780815125,7712,0,3776,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_6,4192,1,1179.484580039978,8256,0,4037,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_7,3768,1,1020.131847858429,7405,0,3623,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_8,4355,1,1131.708328962326,8561,0,4189,0
Forget20-UFLP_8_3_1-1000_1-100_spheredown_1_9,3897,1,1264.9256608486176,7649,0,3741,0
