instance,YN,solved,cpu,nbit,nbinfeas,nbduplicates,totalLP
Forget20-KP_10_3_1-1000_spheredown_2_6,18,1,0.04405498504638672,37,0,19,0
Forget20-KP_10_3_1-1000_spheredown_2_7,20,1,0.04852414131164551,41,0,20,0
Forget20-KP_10_3_1-1000_spheredown_2_8,15,1,0.03695106506347656,31,0,16,0
Forget20-KP_10_3_1-1000_spheredown_2_9,26,1,0.07029294967651367,53,0,27,0
Forget20-KP_10_3_1-1000_spheredown_3_1,87,1,0.2951951026916504,173,0,86,0
Forget20-KP_10_3_1-1000_spheredown_3_10,65,1,0.19463491439819336,129,0,63,0
Forget20-KP_10_3_1-1000_spheredown_3_2,86,1,0.28465914726257324,173,0,87,0
Forget20-KP_10_3_1-1000_spheredown_3_3,87,1,0.2944371700286865,175,0,88,0
Forget20-KP_10_3_1-1000_spheredown_3_4,56,1,0.16904187202453613,113,0,57,0
Forget20-KP_10_3_1-1000_spheredown_3_5,55,1,0.15714502334594727,111,0,56,0
Forget20-KP_10_3_1-1000_spheredown_3_6,89,1,0.30660200119018555,179,0,90,0
Forget20-KP_10_3_1-1000_spheredown_3_7,112,1,0.40466809272766113,225,0,112,0
Forget20-KP_10_3_1-1000_spheredown_3_8,104,1,0.36747097969055176,209,0,105,0
Forget20-KP_10_3_1-1000_spheredown_3_9,74,1,0.23501992225646973,145,0,71,0
Forget20-KP_15_3_1-1000_spheredown_1_1,162,1,1.4239649772644043,323,0,161,0
Forget20-KP_15_3_1-1000_spheredown_1_10,89,1,0.5611321926116943,179,0,90,0
Forget20-KP_15_3_1-1000_spheredown_1_2,121,1,0.891395092010498,243,0,121,0
Forget20-KP_15_3_1-1000_spheredown_1_3,71,1,0.42562079429626465,142,0,71,0
Forget20-KP_15_3_1-1000_spheredown_1_4,39,1,0.22098612785339355,79,0,40,0
Forget20-KP_15_3_1-1000_spheredown_1_5,62,1,0.393312931060791,124,0,62,0
Forget20-KP_15_3_1-1000_spheredown_1_6,80,1,0.5331339836120605,161,0,81,0
Forget20-KP_15_3_1-1000_spheredown_1_7,137,1,1.1921279430389404,274,0,137,0
Forget20-KP_15_3_1-1000_spheredown_1_8,121,1,0.8525450229644775,242,0,121,0
Forget20-KP_15_3_1-1000_spheredown_1_9,100,1,0.6813199520111084,201,0,101,0
Forget20-KP_15_3_1-1000_spheredown_2_1,61,1,0.34698987007141113,122,0,61,0
Forget20-KP_15_3_1-1000_spheredown_2_10,107,1,0.6682760715484619,215,0,108,0
Forget20-KP_15_3_1-1000_spheredown_2_2,62,1,0.3840961456298828,125,0,62,0
Forget20-KP_15_3_1-1000_spheredown_2_3,61,1,0.35146093368530273,123,0,62,0
Forget20-KP_15_3_1-1000_spheredown_2_4,98,1,0.6073780059814453,197,0,98,0
Forget20-KP_15_3_1-1000_spheredown_2_5,77,1,0.4830620288848877,153,0,76,0
Forget20-KP_15_3_1-1000_spheredown_2_6,115,1,0.7381479740142822,230,0,115,0
Forget20-KP_15_3_1-1000_spheredown_2_7,87,1,0.5458450317382812,175,0,87,0
Forget20-KP_15_3_1-1000_spheredown_2_8,82,1,0.5111360549926758,165,0,83,0
Forget20-KP_15_3_1-1000_spheredown_2_9,76,1,0.45128488540649414,153,0,77,0
Forget20-KP_15_3_1-1000_spheredown_3_1,305,1,3.4777028560638428,598,0,289,0
Forget20-KP_15_3_1-1000_spheredown_3_10,256,1,2.667171001434326,511,0,255,0
Forget20-KP_15_3_1-1000_spheredown_3_2,279,1,3.199460029602051,558,0,279,0
Forget20-KP_15_3_1-1000_spheredown_3_3,256,1,1.98968505859375,511,0,255,0
Forget20-KP_15_3_1-1000_spheredown_3_4,176,1,0.9630060195922852,351,0,175,0
Forget20-KP_15_3_1-1000_spheredown_3_5,222,1,1.218902826309204,441,0,219,0
Forget20-KP_15_3_1-1000_spheredown_3_6,243,1,1.4628608226776123,485,0,241,0
Forget20-KP_15_3_1-1000_spheredown_3_7,269,1,1.8187720775604248,532,0,262,0
Forget20-KP_15_3_1-1000_spheredown_3_8,339,1,3.3016300201416016,679,0,340,0
Forget20-KP_15_3_1-1000_spheredown_3_9,204,1,1.1203148365020752,393,0,187,0
Forget20-KP_20_3_1-1000_spheredown_1_1,287,1,2.8147239685058594,573,0,286,0
Forget20-KP_20_3_1-1000_spheredown_1_10,164,1,1.201050043106079,322,0,155,0
Forget20-KP_20_3_1-1000_spheredown_1_2,226,1,2.1105470657348633,451,0,223,0
Forget20-KP_20_3_1-1000_spheredown_1_3,114,1,0.8286309242248535,229,0,115,0
Forget20-KP_20_3_1-1000_spheredown_1_4,198,1,2.3774521350860596,396,0,198,0
Forget20-KP_20_3_1-1000_spheredown_1_5,248,1,3.3523387908935547,494,0,245,0
Forget20-KP_20_3_1-1000_spheredown_1_6,385,1,5.774464130401611,744,0,356,0
Forget20-KP_20_3_1-1000_spheredown_1_7,125,1,1.3217029571533203,250,0,125,0
Forget20-KP_20_3_1-1000_spheredown_1_8,151,1,1.5975759029388428,302,0,151,0
Forget20-KP_20_3_1-1000_spheredown_1_9,232,1,3.1505000591278076,463,0,231,0
Forget20-KP_20_3_1-1000_spheredown_2_1,298,1,4.768115997314453,594,0,295,0
Forget20-KP_20_3_1-1000_spheredown_2_10,401,1,9.579282999038696,781,0,374,0
Forget20-KP_20_3_1-1000_spheredown_2_2,477,1,10.527456045150757,952,0,475,0
Forget20-KP_20_3_1-1000_spheredown_2_3,557,1,16.042896032333374,1112,0,555,0
Forget20-KP_20_3_1-1000_spheredown_2_4,338,1,6.7425501346588135,675,0,337,0
Forget20-KP_20_3_1-1000_spheredown_2_5,420,1,10.862396955490112,829,0,409,0
Forget20-KP_20_3_1-1000_spheredown_2_6,322,1,5.17981219291687,641,0,319,0
Forget20-KP_20_3_1-1000_spheredown_2_7,381,1,7.600070953369141,751,0,369,0
Forget20-KP_20_3_1-1000_spheredown_2_8,260,1,5.122431993484497,516,0,255,0
Forget20-KP_20_3_1-1000_spheredown_2_9,266,1,4.553642988204956,532,0,264,0
Forget20-KP_20_3_1-1000_spheredown_3_1,188,1,2.7140860557556152,376,0,188,0
Forget20-KP_20_3_1-1000_spheredown_3_10,471,1,10.935728073120117,940,0,469,0
Forget20-KP_20_3_1-1000_spheredown_3_2,298,1,5.834382057189941,593,0,295,0
Forget20-KP_20_3_1-1000_spheredown_3_3,584,1,16.11036992073059,1106,0,516,0
Forget20-KP_20_3_1-1000_spheredown_3_4,518,1,15.441542863845825,1032,0,514,0
Forget20-KP_20_3_1-1000_spheredown_3_5,304,1,5.202779054641724,609,0,304,0
Forget20-KP_20_3_1-1000_spheredown_3_6,533,1,11.841045141220093,1063,0,527,0
Forget20-KP_20_3_1-1000_spheredown_3_7,473,1,9.598958015441895,940,0,467,0
Forget20-KP_20_3_1-1000_spheredown_3_8,267,1,4.239928960800171,531,0,264,0
Forget20-KP_20_3_1-1000_spheredown_3_9,388,1,6.825989007949829,763,0,375,0
Forget20-KP_25_3_1-1000_spheredown_1_1,610,1,30.109766960144043,1219,0,609,0
Forget20-KP_25_3_1-1000_spheredown_1_10,593,1,19.777742862701416,1171,0,568,0
Forget20-KP_25_3_1-1000_spheredown_1_2,431,1,9.414622783660889,843,0,411,0
Forget20-KP_25_3_1-1000_spheredown_1_3,615,1,18.313520193099976,1218,0,601,0
Forget20-KP_25_3_1-1000_spheredown_1_4,986,1,49.26240611076355,1957,0,971,0
Forget20-KP_25_3_1-1000_spheredown_1_5,569,1,15.6476731300354,1133,0,562,0
Forget20-KP_25_3_1-1000_spheredown_1_6,457,1,10.685211896896362,893,0,435,0
Forget20-KP_25_3_1-1000_spheredown_1_7,404,1,10.292044878005981,802,0,398,0
Forget20-KP_25_3_1-1000_spheredown_1_8,650,1,21.7606840133667,1297,0,646,0
Forget20-KP_25_3_1-1000_spheredown_1_9,411,1,13.728939056396484,805,0,393,0
Forget20-KP_25_3_1-1000_spheredown_2_1,696,1,39.56928610801697,1379,0,683,0
Forget20-KP_25_3_1-1000_spheredown_2_10,387,1,16.756695985794067,768,0,381,0
Forget20-KP_25_3_1-1000_spheredown_2_2,357,1,8.956681966781616,714,0,356,0
Forget20-KP_25_3_1-1000_spheredown_2_3,492,1,13.109401941299438,956,0,459,0
Forget20-KP_25_3_1-1000_spheredown_2_4,470,1,10.782574892044067,936,0,466,0
Forget20-KP_25_3_1-1000_spheredown_2_5,744,1,34.89517617225647,1482,0,738,0
Forget20-KP_25_3_1-1000_spheredown_2_6,475,1,12.118681192398071,933,0,457,0
Forget20-KP_25_3_1-1000_spheredown_2_7,658,1,22.46004605293274,1312,0,652,0
Forget20-KP_25_3_1-1000_spheredown_2_8,403,1,8.993818998336792,802,0,397,0
Forget20-KP_25_3_1-1000_spheredown_2_9,641,1,22.066155910491943,1264,0,622,0
Forget20-KP_25_3_1-1000_spheredown_3_1,686,1,21.440531969070435,1365,0,678,0
Forget20-KP_25_3_1-1000_spheredown_3_10,560,1,16.15425705909729,1114,0,553,0
Forget20-KP_25_3_1-1000_spheredown_3_2,777,1,29.89426589012146,1541,0,758,0
Forget20-KP_25_3_1-1000_spheredown_3_3,511,1,14.162422895431519,1018,0,507,0
Forget20-KP_25_3_1-1000_spheredown_3_4,568,1,18.86531710624695,1135,0,567,0
